1,1,3,5
2,,,
3,8,,
4,8,,
5,10,,
6,2,,
7,8,,
8,13,,
9,14,,
10,,,
11,12,,
12,,,
13,15,,
14,9,,
15,14,18,16
16,10,,
17,16,,
18,13,,
